0|Lokalitet|Placering|Komponent|Kabelnummer|Terminal|Adresse|Ledning|Forsyning|Ledning2
58|Køkken|Ved dør til viktualrum|Tryk 6 tast|11|Tryk (midt højre)|Indgang ?|--||
59|Køkken|Ved dør til viktualrum|Tryk 6 tast|11|Tryk (nederst venstre)|Indgang 2 . 08|Rød||
60|Køkken|Ved dør til viktualrum|Tryk 6 tast|11|Tryk (nederst højre)|Indgang 2 . 11|Grå||
61|Garage|Ved yderdør|Tryk 6 tast|12|Tryk (øverst venstre)|Indgang 1 . 11|Sort||
62|Garage|Ved yderdør|Tryk 6 tast|12|Tryk (øverst højre)|Indgang 1 . 12|Grøn||
63|Garage|Ved yderdør|Tryk 6 tast|12|Tryk (midt venstre)|Indgang 1 . 13|Violet||
64|Garage|Ved yderdør|Tryk 6 tast|12|Tryk (midt højre)|Indgang ?|--||
65|Garage|Ved yderdør|Tryk 6 tast|12|Tryk (nederst venstre)|Indgang 1 . 14|Rød||
66|Garage|Ved yderdør|Tryk 6 tast|12|Tryk (nederst højre)|Indgang ?|--||
|||||||||
67|Stue||Røgsensor|||Indgang 4 . 18|Orange|Udgang 7 . 02|
68|Soveværelse||Røgsensor|||Indgang 2 . 18|Hvid |Udgang 7 . 02|
69|Bryggers|I loft|Røgsensor|36||Indgang 3 . 07|Sort|Udgang 7 . 02|Violet
70|Garage||Røgsensor|||Indgang 4 . 17||Udgang 7 . 02|
71|Udendørs|Indkørsel|Røgsensor|||Indgang 5 . 01|Grøn|Udgang 7 . 03|HvidBlå
|||||||||
72|Stue|På væg|Pir|33|Alarm detektion|Indgang 3 . 18|Sort||
73|Soveværelse|Ved dør til toilet|Pir||Tilstedeværelses|Indgang 5 . 08|Hvid||
74|Bryggers|På væg|Pir|31|Alarm detektion|Indgang 3 . 16|Sort||
75|Garage|På væg|Pir|30|Alarm detektion|Indgang 3 . 15|Sort||
